RECID|DEAL_NUMBER|COMPANY_CODE|BOOKING_DATE|VALUE_DATE|AMOUNT_LCY|AMOUNT_FCY|TRANSACTION_CODE|TRANS_REFERENCE|SYSTEM_ID|CONSOL_KEY_TYPE|DATE_TIME|REVERSAL_MARKER
192365169433236.020001|840002925298|CA0017623|20200831|20200831|83.67||SUS|FT202445WF3H|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2008302020|
192365404533244.010001|840002925298|CA0017623|20200831|20200831|657.37||SUS|FT202443WSRS|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2008302020|
188094224795270.000001|840002925298|CA0017623|20190630|20190630|156.25||SUS|FT19181K64WN|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1906300747|
188094224795276.000001|840002925298|CA0017623|20190630|20190630|657.37||SUS|FT19181R5YFL|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1906300747|
188079172834956.010001|840002925298|CA0017623|20190628|20190628|-349.00||SUS|FT19179Z904Z|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1906281115|
187176939199982.000001|840002925298|CA0017623|20190331|20190331|657.37||SUS|FT19090FLBC0|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1903302239|
187172405499981.020001|840002925298|CA0017623|20190331|20190331|156.25||SUS|FT19090X9L1G|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1903302239|
196937086659479.010001|840002925298|CA0017623|20211130|20211130|833.03||SUS|FT21334386ZF|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2111301631|
187168311739259.010001|840002925298|CA0017623|20190329|20190329|-361.50||SUS|FT19088061ZC|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1903290200|
195091808626134.020001|840002925298|CA0017623|20210531|20210531|657.37||SUS|FT21151VY68B|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2105302155|
195091808626128.010001|840002925298|CA0017623|20210531|20210531|190.14||SUS|FT21151KZPH7|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2105302155|
192066811672384.020001|840002925298|CA0017623|20200731|20200731|83.67||SUS|FT202138NFD4|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2007310113|
192066811672393.000001|840002925298|CA0017623|20200731|20200731|657.37||SUS|FT20213Q0WD7|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2007310113|
187793524210445.020001|840002925298|CA0017623|20190531|20190531|657.37||SUS|FT19151XHPSB|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1905310947|
187794470510443.020001|840002925298|CA0017623|20190531|20190531|156.25||SUS|FT191515ZVHH|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1905310947|
194820075357201.030001|840002925298|CA0017623|20210503|20210503|-6882.30||SUS|FT21123YLKKB|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2105031153|
194820075357203.030001|840002925298|CA0017623|20210503|20210503|6882.30||SUS|FT21123N2LQ5|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2105031153|
194796415461693.020001|840002925298|CA0017623|20210430|20210430|657.37||SUS|FT211202V35D|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2104300148|
194796415461684.020001|840002925298|CA0017623|20210430|20210430|190.14||SUS|FT21120G7YMS|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2104300148|
196670781946866.030001|840002925298|CA0017623|20211104|20211101|-833.03||SUS|FT213052B97F|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2111041301|R
196646717562840.010001|840002925298|CA0017623|20211101|20211101|833.03||SUS|FT213052B97F|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2111011727|
196607428481166.020001|840002925298|CA0017623|20211029|20211029|-366.85||SUS|FT21302QNHL9|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2110282232|
194485746659298.020001|840002925298|CA0017623|20210331|20210331|190.14||SUS|FT21090SBT0C|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2103302254|
194485746659303.020001|840002925298|CA0017623|20210331|20210331|657.37||SUS|FT21090QJTXJ|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2103302255|
194489385159635.010001|840002925298|CA0017623|20210331|20210331|-364.68||SUS|FT21090ZGNP1|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2103302300|
189013056620004.020001|840002925298|CA0017623|20190930|20190930|657.37||SUS|FT19273L3WSC|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1909300106|
189015100020202.020001|840002925298|CA0017623|20190930|20190930|156.25||SUS|FT19273G7T46|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1909300110|
196390705053269.010001|840002925298|CA0017623|20211007|20211007|-833.03||SUS|FT21280STHSZ|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2110071447|
