BATCH.STAGE,BATCH,JOB.NAME,START.TIME,END.TIME,ELAPSED.TIME,PROCESSED RECS,THROUGHPUT,COMPLETED RECS,SELECTION.TIME,BULK.NO,TXN.MGMT,WRITE.CACHE,LOCK.COLLISION,TOTAL WRITE,,DET PROCESSED,DET COMPLETED,DET THROUGHPUT,DET BULK.NUMBER,DET SELECT,TYPE OF SELECT, DET SELECT TIME
S012,BLT/SYSTEM.END.OF.DAY3,ICA.CALC.INT.CORR,14:50:08,14:50:08,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,BLT/SYSTEM.END.OF.DAY3,ICA.DIST.INT.CORR,14:50:09,14:50:09,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,BLT/SYSTEM.END.OF.DAY3,ICA.POST.INT.CORR,14:50:10,14:50:10,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,,,1
S012,BLT/SYSTEM.END.OF.DAY3,ICA.BLD.AC.ACTIVITY,14:50:10,14:50:10,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,BLT/SYSTEM.END.OF.DAY3,ICA.CALC.INT,14:50:11,14:50:11,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,BLT/SYSTEM.END.OF.DAY3,ICA.DISTRIBUTE.INT,14:50:12,14:50:12,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,,,1
S012,BLT/SYSTEM.END.OF.DAY3,ICA.POST.INT,14:50:12,14:50:12,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBLT.ICA.ACCT.STMT,ALL,0
S012,BLT/SYSTEM.END.OF.DAY3,EOD.UPD.AC.PENDING,14:50:14,14:50:14,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,,,1
S012,BLT/SYSTEM.END.OF.DAY3,SA.PREMIUM.INTEREST,14:50:14,14:50:14,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBLT.PREM.PROC.PREMPTED,FILTER,0
S012,BLT/SYSTEM.END.OF.DAY3,EOD.ACCT.ACTIVITY.BK.UPD,14:50:14,14:50:14,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,BNK/SYSTEM.END.OF.DAY3,AC.HVT.MERGE,14:50:03,14:50:03,00:00:00,0,0,0,0,0,Y,N,0,0,,0*0,0*0,0,0*0,,,0*0
S012,BNK/SYSTEM.END.OF.DAY3,IC.BVAL,14:50:04,14:50:04,00:00:01,0,0,0,1,0,Y,N,0,0,,0*0*0,0*0*0,0,0*0*0,SELECT FBNK.ACCT.BACK.VALUE**SELECT FBNK.ACCT.BACK.VALUE,ALL**ALL,0*0*1
S012,BNK/SYSTEM.END.OF.DAY3,IC.COB,14:50:07,14:50:07,00:00:01,2,120,2,1,0,Y,Y,0,0,,0*0*2,0*0*2,120,0*0*0,SELECT FBNK.IC.LIQ.ACCT**SELECT FBNK.GROUP.ACCOUNT,ALL**ALL,0*0*1
S012,BNK/SYSTEM.END.OF.DAY3,IC.COB.POST,14:50:07,14:50:07,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
S012,BNK/SYSTEM.END.OF.DAY3,ICA.BUILD.GRP.CORR,14:50:07,14:50:07,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBNK.ICA.BACK.VALUE,ALL,0
S012,BNK/SYSTEM.END.OF.DAY3,ICA.BLD.ACCT.ACT.CORR,14:50:08,14:50:08,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,,,1
S012,BNK/SYSTEM.END.OF.DAY3,ICA.CALC.INT.CORR,14:50:08,14:50:08,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,BNK/SYSTEM.END.OF.DAY3,ICA.DIST.INT.CORR,14:50:09,14:50:09,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,BNK/SYSTEM.END.OF.DAY3,ICA.POST.INT.CORR,14:50:10,14:50:10,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,SELECT FBNK.ICA.ACCT.STMT,ALL,1
S012,BNK/SYSTEM.END.OF.DAY3,ICA.BLD.AC.ACTIVITY,14:50:10,14:50:10,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,BNK/SYSTEM.END.OF.DAY3,ICA.CALC.INT,14:50:11,14:50:11,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,BNK/SYSTEM.END.OF.DAY3,ICA.DISTRIBUTE.INT,14:50:12,14:50:12,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,,,1
S012,BNK/SYSTEM.END.OF.DAY3,ICA.POST.INT,14:50:12,14:50:12,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBNK.ICA.ACCT.STMT,ALL,0
S012,BNK/SYSTEM.END.OF.DAY3,EOD.UPD.AC.PENDING,14:50:14,14:50:14,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,,,1
S012,BNK/SYSTEM.END.OF.DAY3,SA.PREMIUM.INTEREST,14:50:14,14:50:14,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBNK.PREM.PROC.PREMPTED,FILTER,0
S012,BNK/SYSTEM.END.OF.DAY3,EOD.ACCT.ACTIVITY.BK.UPD,14:50:14,14:50:14,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,TLL/SYSTEM.END.OF.DAY3,AC.HVT.MERGE,14:50:03,14:50:03,00:00:00,0,0,0,0,0,Y,N,0,0,,0*0,0*0,0,0*0,,,0*0
S012,TLL/SYSTEM.END.OF.DAY3,IC.BVAL,14:50:04,14:50:04,00:00:00,0,0,0,0,0,Y,N,0,0,,0*0*0,0*0*0,0,0*0*0,SELECT FTLL.ACCT.BACK.VALUE**SELECT FTLL.ACCT.BACK.VALUE,ALL**ALL,0*0*0
S012,TLL/SYSTEM.END.OF.DAY3,IC.COB,14:50:05,14:50:06,00:00:03,0,0,0,2,0,Y,N,0,0,,0*0*0,0*0*0,0,0*0*0,SELECT FTLL.IC.LIQ.ACCT**SELECT FTLL.GROUP.ACCOUNT,ALL**ALL,1*0*1
S012,TLL/SYSTEM.END.OF.DAY3,IC.COB.POST,14:50:06,14:50:06,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
S012,TLL/SYSTEM.END.OF.DAY3,ICA.BUILD.GRP.CORR,14:50:07,14:50:07,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FTLL.ICA.BACK.VALUE,ALL,0
S012,TLL/SYSTEM.END.OF.DAY3,ICA.BLD.ACCT.ACT.CORR,14:50:08,14:50:08,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,,,1
S012,TLL/SYSTEM.END.OF.DAY3,ICA.CALC.INT.CORR,14:50:08,14:50:08,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,TLL/SYSTEM.END.OF.DAY3,ICA.DIST.INT.CORR,14:50:09,14:50:09,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,TLL/SYSTEM.END.OF.DAY3,ICA.POST.INT.CORR,14:50:10,14:50:10,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,,,1
S012,TLL/SYSTEM.END.OF.DAY3,ICA.BLD.AC.ACTIVITY,14:50:10,14:50:10,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,TLL/SYSTEM.END.OF.DAY3,ICA.CALC.INT,14:50:11,14:50:11,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S012,TLL/SYSTEM.END.OF.DAY3,ICA.DISTRIBUTE.INT,14:50:12,14:50:12,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,,,1
S012,TLL/SYSTEM.END.OF.DAY3,ICA.POST.INT,14:50:12,14:50:12,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FTLL.ICA.ACCT.STMT,ALL,0
S012,TLL/SYSTEM.END.OF.DAY3,EOD.UPD.AC.PENDING,14:50:14,14:50:14,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,,,1
S012,TLL/SYSTEM.END.OF.DAY3,SA.PREMIUM.INTEREST,14:50:14,14:50:14,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FTLL.PREM.PROC.PREMPTED,FILTER,0
S012,TLL/SYSTEM.END.OF.DAY3,EOD.ACCT.ACTIVITY.BK.UPD,14:50:14,14:50:14,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,,0
S013,B2B/CARD.CHEQUE.EOD.1,EOD.CARD.CLEAR,14:50:16,14:50:16,00:00:01,2,120,2,1,0,Y,Y,0,0,,1*1,1*1,120,0*0,,PREDEFINED*PREDEFINED,0*1
S013,BLT/CARD.CHEQUE.EOD.1,EOD.CARD.CLEAR,14:50:16,14:50:16,00:00:01,2,120,2,1,0,Y,Y,0,0,,1*1,1*1,120,0*0,,PREDEFINED*PREDEFINED,0*1
S013,BNK/CARD.CHEQUE.EOD.1,EOD.CARD.CLEAR,14:50:16,14:50:16,00:00:01,2,120,2,1,0,Y,Y,0,0,,1*1,1*1,120,0*0,,PREDEFINED*PREDEFINED,0*1
S013,TLL/CARD.CHEQUE.EOD.1,EOD.CARD.CLEAR,14:50:16,14:50:16,00:00:01,2,120,2,1,0,Y,Y,0,0,,1*1,1*1,120,0*0,,PREDEFINED*PREDEFINED,0*1
S014,B2B/GROUP.ACCRUAL.EOD,GROUP.ACCRUAL.COB,14:50:18,14:50:18,00:00:01,14,840,14,1,0,Y,Y,0,0,,14,14,840,0,SELECT FB2B.ACCOUNT.ACT,FILTER,1
S014,B2B/GROUP.ACCRUAL.EOD,EOD.GROUP.ACCRUAL,14:50:19,14:50:19,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,SELECT FB2B.GROUP.ACCRUAL.DETAIL,ALL,1
S014,B2B/GROUP.ACCRUAL.EOD,EOD.GROUP.POST.ACCRUAL,14:50:19,14:50:19,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FB2B.GROUP.ACCRUAL.BALANCES,ALL,0
S014,B2B/GROUP.ACCRUAL.EOD,EOD.GROUP.ACCRUAL.POST,14:50:19,14:50:19,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
