=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.08.20 12:35:56 =~=~=~=~=~=~=~=~=~=~=~=
tRun LAUR.IO.TEST
Program started 
Time taken for Initialise Variable:   1
Time taken for Opening Connection to reach table:   1025
ud3600t2402
Time taken for Execute host Name:   4
Time for WRITE :   TEST191    2
Time for WRITE :   TEST192    1
Time for WRITE :   TEST193    1
Time for WRITE :   TEST194    2
Time for WRITE :   TEST195    1
Time for WRITE :   TEST196    1
Time for WRITE :   TEST197    2
Time for WRITE :   TEST198    2
Time for WRITE :   TEST199    1
Time for WRITE :   TEST200    1
Time for WRITE :   TEST201    1
Time for WRITE :   TEST202    1
Time for WRITE :   TEST203    1
Time for WRITE :   TEST204    1
Time for WRITE :   TEST205    5
Time for WRITE :   TEST206    2
Time for WRITE :   TEST207    1
Time for WRITE :   TEST208    1
Time for WRITE :   TEST209    2
Time for WRITE :   TEST210    2
Time for WRITE :   TEST211    1
Time for WRITE :   TEST212    1
Time for WRITE :   TEST213    1
Time for WRITE :   TEST214    1
Time for WRITE :   TEST215    2
Time for WRITE :   TEST216    4
Time for WRITE :   TEST217    2
Time for WRITE :   TEST218    3
Time for WRITE :   TEST219    3
Time for WRITE :   TEST220    2
Time for WRITE :   TEST221    2
Time for WRITE :   TEST222    1
Time for WRITE :   TEST223    1
Time for WRITE :   TEST224    3
Time for WRITE :   TEST225    1
Time for WRITE :   TEST226    1
Time for WRITE :   TEST227    1
Time for WRITE :   TEST228    1
Time for WRITE :   TEST229    3
Time for WRITE :   TEST230    2
Time for WRITE :   TEST231    2
Time for WRITE :   TEST232    1
Time for WRITE :   TEST233    1
Time for WRITE :   TEST234    2
Time for WRITE :   TEST235    2
Time for WRITE :   TEST236    2
Time for WRITE :   TEST237    2
Time for WRITE :   TEST238    2
Time for WRITE :   TEST239    1
Time for WRITE :   TEST240    1
Time for WRITE :   TEST241    2
Time for WRITE :   TEST242    1
Time for WRITE :   TEST243    2
Time for WRITE :   TEST244    1
Time for WRITE :   TEST245    2
Time for WRITE :   TEST246    2
Time for WRITE :   TEST247    1
Time for WRITE :   TEST248    2
Time for WRITE :   TEST249    2
Time for WRITE :   TEST250    2
Time for WRITE :   TEST251    2
Time for WRITE :   TEST252    2
Time for WRITE :   TEST253    1
Time for WRITE :   TEST254    1
Time for WRITE :   TEST255    1
Time for WRITE :   TEST256    2
Time for WRITE :   TEST257    1
Time for WRITE :   TEST258    1
Time for WRITE :   TEST259    1
Time for WRITE :   TEST260    2
Time for WRITE :   TEST261    2
Time for WRITE :   TEST262    1
Time for WRITE :   TEST263    1
Time for WRITE :   TEST264    1
Time for WRITE :   TEST265    1
Time for WRITE :   TEST266    1
Time for WRITE :   TEST267    2
Time for WRITE :   TEST268    2
Time for WRITE :   TEST269    1
Time for WRITE :   TEST270    2
Time for WRITE :   TEST271    2
Time for WRITE :   TEST272    2
Time for WRITE :   TEST273    2
Time for WRITE :   TEST274    2
Time for WRITE :   TEST275    1
Time for WRITE :   TEST276    1
Time for WRITE :   TEST277    3
Time for WRITE :   TEST278    1
Time for WRITE :   TEST279    1
Time for WRITE :   TEST280    2
Time for WRITE :   TEST281    2
Time for WRITE :   TEST282    1
Time for WRITE :   TEST283    2
Time for WRITE :   TEST284    2
Time for WRITE :   TEST285    1
Time for WRITE :   TEST286    2
Time for WRITE :   TEST287    2
Time for WRITE :   TEST288    3
Time for WRITE :   TEST289    1
Time for WRITE :   TEST290    1
Time for WRITE :   TEST291    2
Time for WRITE :   TEST292    1
Time for WRITE :   TEST293    1
Time for WRITE :   TEST294    2
Time for WRITE :   TEST295    1
Time for WRITE :   TEST296    1
Time for WRITE :   TEST297    2
Time for WRITE :   TEST298    2
Time for WRITE :   TEST299    2
Time for WRITE :   TEST300    2
Time for WRITE :   TEST301    2
Time for WRITE :   TEST302    2
Time for WRITE :   TEST303    1
Time for WRITE :   TEST304    3
Time for WRITE :   TEST305    1
Time for WRITE :   TEST306    7
Time for WRITE :   TEST307    2
